Designator,Mid X,Mid Y,Rotation,Layer
AE1,120.1,-129.75,270.0,top
C1,117.8125,-66.84,270.0,top
C11,79.4,-59.0,0.0,top
C12,79.2,-63.6,0.0,top
C14,79.2,-64.55,0.0,top
C17,72.25,-70.875,0.0,top
C2,124.7,-67.5,0.0,top
C3,124.7,-69.55,0.0,top
C4,79.2,-65.5,0.0,top
C5,124.7,-68.5,0.0,top
C6,124.42,-78.15,0.0,top
C7,76.1,-77.4,0.0,top
D1,126.45,-66.2,180.0,top
D2,79.4,-62.25,180.0,top
J2,108.075,-74.8,180.0,top
J3,135.55,-72.575,0.0,top
J5,62.175,-74.05,180.0,top
J6,90.22,-68.73,0.0,top
J7,136.15,-95.35,0.0,top
J8,100.825,-129.9,180.0,top
J9,60.1,-95.4,180.0,top
L12,74.95,-65.25,0.0,top
L13,71.85,-65.25,0.0,top
L25,121.1,-71.2,180.0,top
L27,120.4,-78.9,270.0,top
L5,71.15,-67.55,270.0,top
L6,72.68,-76.1,270.0,top
L9,78.5,-70.8,270.0,top
R1,128.55,-65.6,90.0,top
R10,72.55,-69.14,270.0,top
R11,72.75,-72.375,270.0,top
R12,72.7,-78.71,270.0,top
R13,75.8,-67.0,270.0,top
R14,75.605427,-75.746407,270.0,top
R15,76.45,-78.7,0.0,top
R16,78.5,-73.3,270.0,top
R2,79.0,-60.65,180.0,top
R3,120.1,-73.1,270.0,top
R4,124.75,-79.45,0.0,top
R5,120.5,-76.4,270.0,top
R6,124.3125,-71.04,270.0,top
R7,123.9,-76.5,90.0,top
R8,120.4975,-74.8,0.0,top
U1,120.8625,-67.8025,0.0,top
U3,123.3,-73.69,0.0,top
U5,75.0,-60.65,0.0,top
U6,74.9875,-69.7,0.0,top
U7,74.9875,-73.05,0.0,top
U8,77.9,-67.7,0.0,top
Z1,80.4,-68.7,180.0,top
Z10,127.45,-73.225,90.0,top
Z12,114.5225,-74.8,180.0,top
Z14,116.275,-75.45,90.0,top
Z15,110.55,-130.52,90.0,top
Z16,118.075,-74.795,180.0,top
Z18,112.19,-129.89,180.0,top
Z19,108.91,-129.89,180.0,top
Z2,68.7,-74.0,0.0,top
Z20,70.37,-74.63,90.0,top
Z4,72.1,-74.0,180.0,top
Z5,83.8,-68.7,180.0,top
Z6,82.1,-69.3025,90.0,top
Z8,125.75,-72.6,180.0,top
Z9,129.125,-72.6,180.0,top
